"","log2Fold","Pvalue","Symbol"
"285",-1.192645078,1.26e-05,"FREM1"
"286",-1.192645078,5.4e-05,"ZNF716"
"287",-1.188893594,2.1e-16,"XPNPEP2"
"288",-1.184424571,3.12e-12,"MXRA5"
"289",-1.179397754,3.06e-12,"DEPDC7"
"290",-1.172722278,7.12e-30,"CBS"
"291",-1.171502736,4.08e-08,"LGALS2"
"292",-1.168848765,1.23e-05,"CYP39A1"
"293",-1.168200321,5.27e-05,"PRODH2"
"294",-1.167727446,5.27e-05,"SLITRK6"
"295",-1.167506401,2.82e-06,"BNIPL"
"296",-1.166133422,0.000156586,"GNMT"
"297",-1.157931405,1.42e-12,"CPXM2"
"298",-1.154780691,3.85e-71,"SLC10A1"
"299",-1.149700833,7.41e-05,"SLN"
"300",-1.142152384,4.23e-05,"AFM"
"301",-1.134092896,1.67e-40,"SLC1A3"
"302",-1.132848831,1.28e-10,"NMUR1"
"303",-1.13014751,7.03e-09,"GPR89B"
"304",-1.121353784,5.91e-05,"NPB"
"305",-1.11883623,7.47e-16,"IGDCC3"
"306",-1.116409492,9.54e-06,"CACNG4"
"307",-1.114257179,5.85e-25,"PRTG"
"308",-1.113562559,2.42e-05,"ULBP3"
"309",-1.110317191,6.04e-18,"F13B"
"310",-1.109823278,1.08e-06,"LILRB3"
"311",-1.106041637,7.64e-05,"GLS2"
"312",-1.105219312,1.92e-09,"COL2A1"
"313",-1.100746948,1.21e-118,"SLCO4C1"
"314",-1.100526876,1.32e-05,"WNK4"
"315",-1.100325309,6.33e-55,"OSBP2"
"316",-1.09894185,1.79e-14,"TTPA"
"317",-1.092216371,1.58e-19,"CNNM1"
"318",-1.091147888,1.49e-08,"C1orf21"
"319",-1.089637212,1.28e-16,"MYLK"
"320",-1.079331493,6.98e-50,"UGT2B7"
"321",-1.074546953,6.13e-05,"PDGFRB"
"322",-1.0730564,2.93e-95,"GSTA2"
"323",-1.068283949,0,"PEG10"
"324",-1.06608919,2.68e-05,"ALDH8A1"
"325",-1.064130337,5.67e-08,"IYD"
"326",-1.062516484,7.76e-07,"TMEM38A"
"327",-1.061029433,6.44e-09,"SLC47A1"
"328",-1.049109406,5.06e-09,"FAM19A4"
"329",-1.047753131,4.88e-138,"COL5A1"
"330",-1.038994132,1.48e-07,"NOTCH1"
"331",-1.038918989,5.76e-07,"JPH2"
"332",-1.034269902,8.27e-24,"PAQR7"
"333",-1.033802708,1.99e-10,"SSTR1"
"334",-1.028569152,1.62e-08,"LRP2"
"335",-1.027762788,9.98e-06,"ACY3"
"336",-1.025181148,4.81e-58,"METTL7A"
"337",-1.02406776,1.17e-09,"PTGES"
"338",-1.017921908,4.48e-05,"IGFBPL1"
"339",-1.015159807,1.29e-13,"DNHD1"
"340",-1.01512449,1.13e-21,"PRKCE"
"341",-1.014185906,1.16e-09,"SUSD3"
"342",-1.012748493,4.97e-18,"WNK3"
"343",-1.011972642,5.77e-05,"ZNF578"
"344",-1.007366969,4.65e-24,"COL7A1"
"345",-1.005932956,1.66e-09,"ZNHIT2"
"346",-1.002214421,4.81e-11,"ZG16"
"347",-1.000902531,5.02e-11,"TRIM16L"
