log2Fold,Pvalue,Symbol
-1.429279422,1.16E-09,PALM3
-1.413826677,3.23E-09,HHLA2
-1.410088283,9.52E-23,SCUBE3
-1.403792742,3.57E-08,ADRA1A
-1.39132143,7.22E-07,PDZRN3
-1.382087077,3.09E-98,SLC5A3
-1.378511623,9.24E-05,TENM4
-1.36923381,1.16E-06,C15orf62
-1.36923381,4.29E-05,SOX11
-1.365214801,3.54E-18,PGF
-1.359081093,0.000130989,GLI3
-1.336525471,2.01E-18,P2RY2
-1.335703474,5.47E-38,TNXB
-1.331059107,5.98E-11,CYP19A1
-1.330645312,3.92E-06,EPHA10
-1.327228879,6.09E-12,NCMAP
-1.325027334,5.89E-10,COL17A1
-1.321539699,1.03E-17,PGC
-1.318753847,2.96E-26,BMP8A
-1.314635602,3.34E-35,SOX6
-1.310787537,1.26E-11,SVEP1
-1.29235498,2.28E-100,COL1A1
-1.282730207,1.25E-09,COL16A1
-1.282356359,6.83E-49,DIO1
-1.265142069,6.30E-06,PCYT1B
-1.264703226,3.42E-71,AGFG2
-1.261386553,3.05E-08,SPIB
-1.261124816,1.81E-06,DBH
-1.260764232,1.26E-06,TMEM169
-1.243925583,0.000163284,SLC1A2
-1.24197279,3.32E-21,PPM1H
-1.237039197,5.29E-06,KCNH6
-1.232834168,4.35E-09,RASL10B
-1.228027956,1.38E-17,FREM2
-1.227535725,1.01E-18,SPTBN2
-1.214334902,2.63E-67,GABRP
-1.209574078,1.52E-10,DPYS
-1.208108195,1.50E-07,PCDH11Y
-1.203027096,2.54E-06,HAND1
-1.201870097,1.03E-171,IGFBP5
-1.195787065,3.80E-05,SEMA3F
-1.192645078,1.26E-05,FREM1
-1.192645078,5.40E-05,ZNF716
-1.188893594,2.10E-16,XPNPEP2
-1.184424571,3.12E-12,MXRA5
-1.179397754,3.06E-12,DEPDC7
-1.172722278,7.12E-30,CBS
-1.171502736,4.08E-08,LGALS2
-1.168848765,1.23E-05,CYP39A1
-1.168200321,5.27E-05,PRODH2
-1.167727446,5.27E-05,SLITRK6
-1.167506401,2.82E-06,BNIPL
-1.166133422,0.000156586,GNMT
-1.157931405,1.42E-12,CPXM2
-1.154780691,3.85E-71,SLC10A1
-1.149700833,7.41E-05,SLN
-1.142152384,4.23E-05,AFM
-1.134092896,1.67E-40,SLC1A3
-1.132848831,1.28E-10,NMUR1
-1.13014751,7.03E-09,GPR89B
-1.121353784,5.91E-05,NPB
-1.11883623,7.47E-16,IGDCC3
-1.116409492,9.54E-06,CACNG4
-1.114257179,5.85E-25,PRTG
-1.113562559,2.42E-05,ULBP3
-1.110317191,6.04E-18,F13B
-1.109823278,1.08E-06,LILRB3
-1.106041637,7.64E-05,GLS2
-1.105219312,1.92E-09,COL2A1
-1.100746948,1.21E-118,SLCO4C1
-1.100526876,1.32E-05,WNK4
-1.100325309,6.33E-55,OSBP2
-1.09894185,1.79E-14,TTPA
-1.092216371,1.58E-19,CNNM1
-1.091147888,1.49E-08,C1orf21
-1.089637212,1.28E-16,MYLK
-1.079331493,6.98E-50,UGT2B7
-1.074546953,6.13E-05,PDGFRB
-1.0730564,2.93E-95,GSTA2
-1.068283949,0,PEG10
-1.06608919,2.68E-05,ALDH8A1
-1.064130337,5.67E-08,IYD
-1.062516484,7.76E-07,TMEM38A
-1.061029433,6.44E-09,SLC47A1
-1.049109406,5.06E-09,FAM19A4
-1.047753131,4.88E-138,COL5A1
-1.038994132,1.48E-07,NOTCH1
-1.038918989,5.76E-07,JPH2
-1.034269902,8.27E-24,PAQR7
-1.033802708,1.99E-10,SSTR1
-1.028569152,1.62E-08,LRP2
-1.027762788,9.98E-06,ACY3
-1.025181148,4.81E-58,METTL7A
-1.02406776,1.17E-09,PTGES
-1.017921908,4.48E-05,IGFBPL1
-1.015159807,1.29E-13,DNHD1
-1.01512449,1.13E-21,PRKCE
-1.014185906,1.16E-09,SUSD3
-1.012748493,4.97E-18,WNK3
-1.011972642,5.77E-05,ZNF578
-1.007366969,4.65E-24,COL7A1
-1.005932956,1.66E-09,ZNHIT2
-1.002214421,4.81E-11,ZG16
-1.000902531,5.02E-11,TRIM16L
-1,0.000139124,TGFBR3
-1,1.84E-05,SAMHD1
